日期,标题,发文机关,机关层级,主题分类,发文字号,所属公报号码,影响行业,情感倾向,情感置信度
2024/1/12,中华人民共和国档案法实施条例,国务院,国务院,综合政务&文秘工作,国令第772号,,医药,中性,0.7
2024/1/12,中华人民共和国档案法实施条例,国务院,国务院,综合政务&文秘工作,国令第772号,,消费,中性,0.7
2024/1/12,中华人民共和国档案法实施条例,国务院,国务院,综合政务&文秘工作,国令第772号,,房地产,中性,0.7
2024/1/12,中华人民共和国档案法实施条例,国务院,国务院,综合政务&文秘工作,国令第772号,,电动车新能源,中性,0.7
2024/1/12,中华人民共和国档案法实施条例,国务院,国务院,综合政务&文秘工作,国令第772号,,高端装备,中性,0.7
2024/1/12,中华人民共和国档案法实施条例,国务院,国务院,综合政务&文秘工作,国令第772号,,旅游,中性,0.7
2024/1/12,中华人民共和国档案法实施条例,国务院,国务院,综合政务&文秘工作,国令第772号,,半导体与信息技术,中性,0.7
2024/1/5,中国人民银行 国家金融监督管理总局关于金融支持住房租赁市场发展的意见,中国人民银行 金融监管总局,国务院部门,财政、金融、审计&其他,银发〔2024〕2号,,化工,中性,0.75
2024/1/5,中国人民银行 国家金融监督管理总局关于金融支持住房租赁市场发展的意见,中国人民银行 金融监管总局,国务院部门,财政、金融、审计&其他,银发〔2024〕2号,,传统能源,中性,0.7
2024/1/5,中国人民银行 国家金融监督管理总局关于金融支持住房租赁市场发展的意见,中国人民银行 金融监管总局,国务院部门,财政、金融、审计&其他,银发〔2024〕2号,,金融,正面,0.85
2024/1/5,中国人民银行 国家金融监督管理总局关于金融支持住房租赁市场发展的意见,中国人民银行 金融监管总局,国务院部门,财政、金融、审计&其他,银发〔2024〕2号,,医药,中性,0.7
2024/1/5,中国人民银行 国家金融监督管理总局关于金融支持住房租赁市场发展的意见,中国人民银行 金融监管总局,国务院部门,财政、金融、审计&其他,银发〔2024〕2号,,消费,正面,0.85
2024/1/5,中国人民银行 国家金融监督管理总局关于金融支持住房租赁市场发展的意见,中国人民银行 金融监管总局,国务院部门,财政、金融、审计&其他,银发〔2024〕2号,,房地产,正面,0.85
2024/1/5,中国人民银行 国家金融监督管理总局关于金融支持住房租赁市场发展的意见,中国人民银行 金融监管总局,国务院部门,财政、金融、审计&其他,银发〔2024〕2号,,电动车新能源,中性,0.7
2024/1/5,中国人民银行 国家金融监督管理总局关于金融支持住房租赁市场发展的意见,中国人民银行 金融监管总局,国务院部门,财政、金融、审计&其他,银发〔2024〕2号,,高端装备,中性,0.75
2024/1/5,中国人民银行 国家金融监督管理总局关于金融支持住房租赁市场发展的意见,中国人民银行 金融监管总局,国务院部门,财政、金融、审计&其他,银发〔2024〕2号,,旅游,中性,0.7
2024/1/5,中国人民银行 国家金融监督管理总局关于金融支持住房租赁市场发展的意见,中国人民银行 金融监管总局,国务院部门,财政、金融、审计&其他,银发〔2024〕2号,,半导体与信息技术,中性,0.7
2024/1/4,中国人民银行 财政部 国家税务总局关于跨境税费缴库退库业务管理有关事项的通知,中国人民银行?财政部?国家税务总局,国务院部门,财政、金融、审计&税务,银发〔2024〕4号,,化工,正面,0.75
2024/1/4,中国人民银行 财政部 国家税务总局关于跨境税费缴库退库业务管理有关事项的通知,中国人民银行?财政部?国家税务总局,国务院部门,财政、金融、审计&税务,银发〔2024〕4号,,传统能源,中性,0.7
2024/1/4,中国人民银行 财政部 国家税务总局关于跨境税费缴库退库业务管理有关事项的通知,中国人民银行?财政部?国家税务总局,国务院部门,财政、金融、审计&税务,银发〔2024〕4号,,金融,正面,0.75
2024/1/4,中国人民银行 财政部 国家税务总局关于跨境税费缴库退库业务管理有关事项的通知,中国人民银行?财政部?国家税务总局,国务院部门,财政、金融、审计&税务,银发〔2024〕4号,,医药,正面,0.75
2024/1/4,中国人民银行 财政部 国家税务总局关于跨境税费缴库退库业务管理有关事项的通知,中国人民银行?财政部?国家税务总局,国务院部门,财政、金融、审计&税务,银发〔2024〕4号,,消费,正面,0.75
2024/1/4,中国人民银行 财政部 国家税务总局关于跨境税费缴库退库业务管理有关事项的通知,中国人民银行?财政部?国家税务总局,国务院部门,财政、金融、审计&税务,银发〔2024〕4号,,房地产,中性,0.7
2024/1/4,中国人民银行 财政部 国家税务总局关于跨境税费缴库退库业务管理有关事项的通知,中国人民银行?财政部?国家税务总局,国务院部门,财政、金融、审计&税务,银发〔2024〕4号,,电动车新能源,中性,0.7
2024/1/4,中国人民银行 财政部 国家税务总局关于跨境税费缴库退库业务管理有关事项的通知,中国人民银行?财政部?国家税务总局,国务院部门,财政、金融、审计&税务,银发〔2024〕4号,,高端装备,正面,0.75
2024/1/4,中国人民银行 财政部 国家税务总局关于跨境税费缴库退库业务管理有关事项的通知,中国人民银行?财政部?国家税务总局,国务院部门,财政、金融、审计&税务,银发〔2024〕4号,,旅游,正面,0.75
2024/1/4,中国人民银行 财政部 国家税务总局关于跨境税费缴库退库业务管理有关事项的通知,中国人民银行?财政部?国家税务总局,国务院部门,财政、金融、审计&税务,银发〔2024〕4号,,半导体与信息技术,正面,0.7
2024/1/15,五部委关于开展智能网联汽车“车路云一体化”应用试点工作的通知,工业和信息化部 公安部 自然资源部 住房城乡建设部 交通运输部,国务院部门,工业、交通&其他,工信部联通装〔2023〕268号,,化工,正面,0.85
2024/1/15,五部委关于开展智能网联汽车“车路云一体化”应用试点工作的通知,工业和信息化部 公安部 自然资源部 住房城乡建设部 交通运输部,国务院部门,工业、交通&其他,工信部联通装〔2023〕268号,,传统能源,负面,0.85
2024/1/15,五部委关于开展智能网联汽车“车路云一体化”应用试点工作的通知,工业和信息化部 公安部 自然资源部 住房城乡建设部 交通运输部,国务院部门,工业、交通&其他,工信部联通装〔2023〕268号,,金融,正面,0.85
2024/1/15,五部委关于开展智能网联汽车“车路云一体化”应用试点工作的通知,工业和信息化部 公安部 自然资源部 住房城乡建设部 交通运输部,国务院部门,工业、交通&其他,工信部联通装〔2023〕268号,,医药,中性,0.7
2024/1/15,五部委关于开展智能网联汽车“车路云一体化”应用试点工作的通知,工业和信息化部 公安部 自然资源部 住房城乡建设部 交通运输部,国务院部门,工业、交通&其他,工信部联通装〔2023〕268号,,消费,正面,0.85
2024/1/15,五部委关于开展智能网联汽车“车路云一体化”应用试点工作的通知,工业和信息化部 公安部 自然资源部 住房城乡建设部 交通运输部,国务院部门,工业、交通&其他,工信部联通装〔2023〕268号,,房地产,正面,0.75
2024/1/15,五部委关于开展智能网联汽车“车路云一体化”应用试点工作的通知,工业和信息化部 公安部 自然资源部 住房城乡建设部 交通运输部,国务院部门,工业、交通&其他,工信部联通装〔2023〕268号,,电动车新能源,正面,0.85
2024/1/15,五部委关于开展智能网联汽车“车路云一体化”应用试点工作的通知,工业和信息化部 公安部 自然资源部 住房城乡建设部 交通运输部,国务院部门,工业、交通&其他,工信部联通装〔2023〕268号,,高端装备,正面,0.85
2024/1/15,五部委关于开展智能网联汽车“车路云一体化”应用试点工作的通知,工业和信息化部 公安部 自然资源部 住房城乡建设部 交通运输部,国务院部门,工业、交通&其他,工信部联通装〔2023〕268号,,旅游,正面,0.85
2024/1/15,五部委关于开展智能网联汽车“车路云一体化”应用试点工作的通知,工业和信息化部 公安部 自然资源部 住房城乡建设部 交通运输部,国务院部门,工业、交通&其他,工信部联通装〔2023〕268号,,半导体与信息技术,正面,0.85
2024/1/12,交通运输部 国家铁路局 中国民用航空局 国家邮政局 中国残疾人联合会 全国老龄工作委员会办公室关于进一步加强适老化无障碍出行服务工作的通知,交通运输部?国家铁路局?中国民用航空局?国家邮政局?中国残疾人联合会?全国老龄工作委员会办公室,国务院部门,工业、交通&其他,交运函〔2024〕20号,,化工,中性,0.75
2024/1/12,交通运输部 国家铁路局 中国民用航空局 国家邮政局 中国残疾人联合会 全国老龄工作委员会办公室关于进一步加强适老化无障碍出行服务工作的通知,交通运输部?国家铁路局?中国民用航空局?国家邮政局?中国残疾人联合会?全国老龄工作委员会办公室,国务院部门,工业、交通&其他,交运函〔2024〕20号,,传统能源,中性,0.75
2024/1/12,交通运输部 国家铁路局 中国民用航空局 国家邮政局 中国残疾人联合会 全国老龄工作委员会办公室关于进一步加强适老化无障碍出行服务工作的通知,交通运输部?国家铁路局?中国民用航空局?国家邮政局?中国残疾人联合会?全国老龄工作委员会办公室,国务院部门,工业、交通&其他,交运函〔2024〕20号,,金融,正面,0.75
2024/1/12,交通运输部 国家铁路局 中国民用航空局 国家邮政局 中国残疾人联合会 全国老龄工作委员会办公室关于进一步加强适老化无障碍出行服务工作的通知,交通运输部?国家铁路局?中国民用航空局?国家邮政局?中国残疾人联合会?全国老龄工作委员会办公室,国务院部门,工业、交通&其他,交运函〔2024〕20号,,医药,中性,0.7
2024/1/12,交通运输部 国家铁路局 中国民用航空局 国家邮政局 中国残疾人联合会 全国老龄工作委员会办公室关于进一步加强适老化无障碍出行服务工作的通知,交通运输部?国家铁路局?中国民用航空局?国家邮政局?中国残疾人联合会?全国老龄工作委员会办公室,国务院部门,工业、交通&其他,交运函〔2024〕20号,,消费,正面,0.85
2024/1/12,交通运输部 国家铁路局 中国民用航空局 国家邮政局 中国残疾人联合会 全国老龄工作委员会办公室关于进一步加强适老化无障碍出行服务工作的通知,交通运输部?国家铁路局?中国民用航空局?国家邮政局?中国残疾人联合会?全国老龄工作委员会办公室,国务院部门,工业、交通&其他,交运函〔2024〕20号,,房地产,中性,0.7
2024/1/12,交通运输部 国家铁路局 中国民用航空局 国家邮政局 中国残疾人联合会 全国老龄工作委员会办公室关于进一步加强适老化无障碍出行服务工作的通知,交通运输部?国家铁路局?中国民用航空局?国家邮政局?中国残疾人联合会?全国老龄工作委员会办公室,国务院部门,工业、交通&其他,交运函〔2024〕20号,,电动车新能源,正面,0.75
2024/1/12,交通运输部 国家铁路局 中国民用航空局 国家邮政局 中国残疾人联合会 全国老龄工作委员会办公室关于进一步加强适老化无障碍出行服务工作的通知,交通运输部?国家铁路局?中国民用航空局?国家邮政局?中国残疾人联合会?全国老龄工作委员会办公室,国务院部门,工业、交通&其他,交运函〔2024〕20号,,高端装备,正面,0.85
2024/1/12,交通运输部 国家铁路局 中国民用航空局 国家邮政局 中国残疾人联合会 全国老龄工作委员会办公室关于进一步加强适老化无障碍出行服务工作的通知,交通运输部?国家铁路局?中国民用航空局?国家邮政局?中国残疾人联合会?全国老龄工作委员会办公室,国务院部门,工业、交通&其他,交运函〔2024〕20号,,旅游,正面,0.85
2024/1/12,交通运输部 国家铁路局 中国民用航空局 国家邮政局 中国残疾人联合会 全国老龄工作委员会办公室关于进一步加强适老化无障碍出行服务工作的通知,交通运输部?国家铁路局?中国民用航空局?国家邮政局?中国残疾人联合会?全国老龄工作委员会办公室,国务院部门,工业、交通&其他,交运函〔2024〕20号,,半导体与信息技术,中性,0.7
2024/1/12,交通运输部等八部门关于印发《2024年综合运输春运服务保障和安全生产总体方案》的通知,交通运输部 公安部 应急管理部 中国气象局 国家铁路局 中国民航局 国家邮政局 中国国家铁路集团有限公司,国务院部门,工业、交通&其他,交运明电〔2024〕8号,,化工,中性,0.75
2024/1/12,交通运输部等八部门关于印发《2024年综合运输春运服务保障和安全生产总体方案》的通知,交通运输部 公安部 应急管理部 中国气象局 国家铁路局 中国民航局 国家邮政局 中国国家铁路集团有限公司,国务院部门,工业、交通&其他,交运明电〔2024〕8号,,传统能源,中性,0.75
2024/1/12,交通运输部等八部门关于印发《2024年综合运输春运服务保障和安全生产总体方案》的通知,交通运输部 公安部 应急管理部 中国气象局 国家铁路局 中国民航局 国家邮政局 中国国家铁路集团有限公司,国务院部门,工业、交通&其他,交运明电〔2024〕8号,,金融,正面,0.75
2024/1/12,交通运输部等八部门关于印发《2024年综合运输春运服务保障和安全生产总体方案》的通知,交通运输部 公安部 应急管理部 中国气象局 国家铁路局 中国民航局 国家邮政局 中国国家铁路集团有限公司,国务院部门,工业、交通&其他,交运明电〔2024〕8号,,医药,中性,0.7
2024/1/12,交通运输部等八部门关于印发《2024年综合运输春运服务保障和安全生产总体方案》的通知,交通运输部 公安部 应急管理部 中国气象局 国家铁路局 中国民航局 国家邮政局 中国国家铁路集团有限公司,国务院部门,工业、交通&其他,交运明电〔2024〕8号,,消费,正面,0.85
2024/1/12,交通运输部等八部门关于印发《2024年综合运输春运服务保障和安全生产总体方案》的通知,交通运输部 公安部 应急管理部 中国气象局 国家铁路局 中国民航局 国家邮政局 中国国家铁路集团有限公司,国务院部门,工业、交通&其他,交运明电〔2024〕8号,,房地产,中性,0.75
2024/1/12,交通运输部等八部门关于印发《2024年综合运输春运服务保障和安全生产总体方案》的通知,交通运输部 公安部 应急管理部 中国气象局 国家铁路局 中国民航局 国家邮政局 中国国家铁路集团有限公司,国务院部门,工业、交通&其他,交运明电〔2024〕8号,,电动车新能源,中性,0.7
2024/1/12,交通运输部等八部门关于印发《2024年综合运输春运服务保障和安全生产总体方案》的通知,交通运输部 公安部 应急管理部 中国气象局 国家铁路局 中国民航局 国家邮政局 中国国家铁路集团有限公司,国务院部门,工业、交通&其他,交运明电〔2024〕8号,,高端装备,正面,0.85
2024/1/12,交通运输部等八部门关于印发《2024年综合运输春运服务保障和安全生产总体方案》的通知,交通运输部 公安部 应急管理部 中国气象局 国家铁路局 中国民航局 国家邮政局 中国国家铁路集团有限公司,国务院部门,工业、交通&其他,交运明电〔2024〕8号,,旅游,正面,0.85
2024/1/12,交通运输部等八部门关于印发《2024年综合运输春运服务保障和安全生产总体方案》的通知,交通运输部 公安部 应急管理部 中国气象局 国家铁路局 中国民航局 国家邮政局 中国国家铁路集团有限公司,国务院部门,工业、交通&其他,交运明电〔2024〕8号,,半导体与信息技术,中性,0.7
2024/1/12,人力资源社会保障部 财政部 国家卫生健康委关于开展工伤保险跨省异地就医直接结算试点工作的通知,人力资源社会保障部 财政部 国家卫生健康委,国务院部门,卫生、体育&卫生,人社部发〔2024〕11号,,化工,正面,0.75
2024/1/12,人力资源社会保障部 财政部 国家卫生健康委关于开展工伤保险跨省异地就医直接结算试点工作的通知,人力资源社会保障部 财政部 国家卫生健康委,国务院部门,卫生、体育&卫生,人社部发〔2024〕11号,,传统能源,中性,0.7
2024/1/12,人力资源社会保障部 财政部 国家卫生健康委关于开展工伤保险跨省异地就医直接结算试点工作的通知,人力资源社会保障部 财政部 国家卫生健康委,国务院部门,卫生、体育&卫生,人社部发〔2024〕11号,,金融,中性,0.75
2024/1/12,人力资源社会保障部 财政部 国家卫生健康委关于开展工伤保险跨省异地就医直接结算试点工作的通知,人力资源社会保障部 财政部 国家卫生健康委,国务院部门,卫生、体育&卫生,人社部发〔2024〕11号,,医药,正面,0.75
2024/1/12,人力资源社会保障部 财政部 国家卫生健康委关于开展工伤保险跨省异地就医直接结算试点工作的通知,人力资源社会保障部 财政部 国家卫生健康委,国务院部门,卫生、体育&卫生,人社部发〔2024〕11号,,消费,正面,0.75
2024/1/12,人力资源社会保障部 财政部 国家卫生健康委关于开展工伤保险跨省异地就医直接结算试点工作的通知,人力资源社会保障部 财政部 国家卫生健康委,国务院部门,卫生、体育&卫生,人社部发〔2024〕11号,,房地产,中性,0.7
2024/1/12,人力资源社会保障部 财政部 国家卫生健康委关于开展工伤保险跨省异地就医直接结算试点工作的通知,人力资源社会保障部 财政部 国家卫生健康委,国务院部门,卫生、体育&卫生,人社部发〔2024〕11号,,电动车新能源,中性,0.7
2024/1/12,人力资源社会保障部 财政部 国家卫生健康委关于开展工伤保险跨省异地就医直接结算试点工作的通知,人力资源社会保障部 财政部 国家卫生健康委,国务院部门,卫生、体育&卫生,人社部发〔2024〕11号,,高端装备,中性,0.7
2024/1/12,人力资源社会保障部 财政部 国家卫生健康委关于开展工伤保险跨省异地就医直接结算试点工作的通知,人力资源社会保障部 财政部 国家卫生健康委,国务院部门,卫生、体育&卫生,人社部发〔2024〕11号,,旅游,正面,0.75
2024/1/12,人力资源社会保障部 财政部 国家卫生健康委关于开展工伤保险跨省异地就医直接结算试点工作的通知,人力资源社会保障部 财政部 国家卫生健康委,国务院部门,卫生、体育&卫生,人社部发〔2024〕11号,,半导体与信息技术,中性,0.7
2024/1/12,人力资源社会保障部等九部门关于开展2024年春风行动的通知,人力资源社会保障部 交通运输部 农业农村部 国家卫生健康委 全国总工会 共青团中央 全国妇联 中国民航局 国铁集团,国务院部门,劳动、人事、监察&劳动就业,,,化工,正面,0.75
2024/1/12,人力资源社会保障部等九部门关于开展2024年春风行动的通知,人力资源社会保障部 交通运输部 农业农村部 国家卫生健康委 全国总工会 共青团中央 全国妇联 中国民航局 国铁集团,国务院部门,劳动、人事、监察&劳动就业,,,传统能源,中性,0.7
2024/1/12,人力资源社会保障部等九部门关于开展2024年春风行动的通知,人力资源社会保障部 交通运输部 农业农村部 国家卫生健康委 全国总工会 共青团中央 全国妇联 中国民航局 国铁集团,国务院部门,劳动、人事、监察&劳动就业,,,金融,正面,0.75
2024/1/12,人力资源社会保障部等九部门关于开展2024年春风行动的通知,人力资源社会保障部 交通运输部 农业农村部 国家卫生健康委 全国总工会 共青团中央 全国妇联 中国民航局 国铁集团,国务院部门,劳动、人事、监察&劳动就业,,,医药,正面,0.75
2024/1/12,人力资源社会保障部等九部门关于开展2024年春风行动的通知,人力资源社会保障部 交通运输部 农业农村部 国家卫生健康委 全国总工会 共青团中央 全国妇联 中国民航局 国铁集团,国务院部门,劳动、人事、监察&劳动就业,,,消费,正面,0.85
2024/1/12,人力资源社会保障部等九部门关于开展2024年春风行动的通知,人力资源社会保障部 交通运输部 农业农村部 国家卫生健康委 全国总工会 共青团中央 全国妇联 中国民航局 国铁集团,国务院部门,劳动、人事、监察&劳动就业,,,房地产,正面,0.75
2024/1/12,人力资源社会保障部等九部门关于开展2024年春风行动的通知,人力资源社会保障部 交通运输部 农业农村部 国家卫生健康委 全国总工会 共青团中央 全国妇联 中国民航局 国铁集团,国务院部门,劳动、人事、监察&劳动就业,,,电动车新能源,中性,0.7
2024/1/12,人力资源社会保障部等九部门关于开展2024年春风行动的通知,人力资源社会保障部 交通运输部 农业农村部 国家卫生健康委 全国总工会 共青团中央 全国妇联 中国民航局 国铁集团,国务院部门,劳动、人事、监察&劳动就业,,,高端装备,正面,0.75
2024/1/12,人力资源社会保障部等九部门关于开展2024年春风行动的通知,人力资源社会保障部 交通运输部 农业农村部 国家卫生健康委 全国总工会 共青团中央 全国妇联 中国民航局 国铁集团,国务院部门,劳动、人事、监察&劳动就业,,,旅游,正面,0.85
2024/1/12,人力资源社会保障部等九部门关于开展2024年春风行动的通知,人力资源社会保障部 交通运输部 农业农村部 国家卫生健康委 全国总工会 共青团中央 全国妇联 中国民航局 国铁集团,国务院部门,劳动、人事、监察&劳动就业,,,半导体与信息技术,中性,0.7
2024/1/5,住房城乡建设部?金融监管总局关于建立城市房地产融资协调机制的通知,住房城乡建设部 金融监管总局,国务院部门,城乡建设、环境保护&其他,建房〔2024〕2号,,化工,正面,0.75
2024/1/5,住房城乡建设部?金融监管总局关于建立城市房地产融资协调机制的通知,住房城乡建设部 金融监管总局,国务院部门,城乡建设、环境保护&其他,建房〔2024〕2号,,传统能源,中性,0.75
2024/1/5,住房城乡建设部?金融监管总局关于建立城市房地产融资协调机制的通知,住房城乡建设部 金融监管总局,国务院部门,城乡建设、环境保护&其他,建房〔2024〕2号,,金融,正面,0.85
2024/1/5,住房城乡建设部?金融监管总局关于建立城市房地产融资协调机制的通知,住房城乡建设部 金融监管总局,国务院部门,城乡建设、环境保护&其他,建房〔2024〕2号,,医药,中性,0.7
2024/1/5,住房城乡建设部?金融监管总局关于建立城市房地产融资协调机制的通知,住房城乡建设部 金融监管总局,国务院部门,城乡建设、环境保护&其他,建房〔2024〕2号,,消费,正面,0.85
2024/1/5,住房城乡建设部?金融监管总局关于建立城市房地产融资协调机制的通知,住房城乡建设部 金融监管总局,国务院部门,城乡建设、环境保护&其他,建房〔2024〕2号,,房地产,正面,0.85
2024/1/5,住房城乡建设部?金融监管总局关于建立城市房地产融资协调机制的通知,住房城乡建设部 金融监管总局,国务院部门,城乡建设、环境保护&其他,建房〔2024〕2号,,电动车新能源,中性,0.7
2024/1/5,住房城乡建设部?金融监管总局关于建立城市房地产融资协调机制的通知,住房城乡建设部 金融监管总局,国务院部门,城乡建设、环境保护&其他,建房〔2024〕2号,,高端装备,中性,0.7
2024/1/5,住房城乡建设部?金融监管总局关于建立城市房地产融资协调机制的通知,住房城乡建设部 金融监管总局,国务院部门,城乡建设、环境保护&其他,建房〔2024〕2号,,旅游,正面,0.75
2024/1/5,住房城乡建设部?金融监管总局关于建立城市房地产融资协调机制的通知,住房城乡建设部 金融监管总局,国务院部门,城乡建设、环境保护&其他,建房〔2024〕2号,,半导体与信息技术,中性,0.75
2024/1/3,住房城乡建设部办公厅关于印发培育新时代建筑产业工人可复制经验做法清单（第一批）的通知,住房城乡建设部办公厅,国务院部门,城乡建设、环境保护&其他,建办市函〔2024〕10号,,化工,中性,0.75
2024/1/3,住房城乡建设部办公厅关于印发培育新时代建筑产业工人可复制经验做法清单（第一批）的通知,住房城乡建设部办公厅,国务院部门,城乡建设、环境保护&其他,建办市函〔2024〕10号,,传统能源,中性,0.7
2024/1/3,住房城乡建设部办公厅关于印发培育新时代建筑产业工人可复制经验做法清单（第一批）的通知,住房城乡建设部办公厅,国务院部门,城乡建设、环境保护&其他,建办市函〔2024〕10号,,金融,中性,0.7
2024/1/3,住房城乡建设部办公厅关于印发培育新时代建筑产业工人可复制经验做法清单（第一批）的通知,住房城乡建设部办公厅,国务院部门,城乡建设、环境保护&其他,建办市函〔2024〕10号,,医药,中性,0.7
2024/1/3,住房城乡建设部办公厅关于印发培育新时代建筑产业工人可复制经验做法清单（第一批）的通知,住房城乡建设部办公厅,国务院部门,城乡建设、环境保护&其他,建办市函〔2024〕10号,,消费,正面,0.75
2024/1/3,住房城乡建设部办公厅关于印发培育新时代建筑产业工人可复制经验做法清单（第一批）的通知,住房城乡建设部办公厅,国务院部门,城乡建设、环境保护&其他,建办市函〔2024〕10号,,房地产,正面,0.75
2024/1/3,住房城乡建设部办公厅关于印发培育新时代建筑产业工人可复制经验做法清单（第一批）的通知,住房城乡建设部办公厅,国务院部门,城乡建设、环境保护&其他,建办市函〔2024〕10号,,电动车新能源,中性,0.7
2024/1/3,住房城乡建设部办公厅关于印发培育新时代建筑产业工人可复制经验做法清单（第一批）的通知,住房城乡建设部办公厅,国务院部门,城乡建设、环境保护&其他,建办市函〔2024〕10号,,高端装备,正面,0.75
2024/1/3,住房城乡建设部办公厅关于印发培育新时代建筑产业工人可复制经验做法清单（第一批）的通知,住房城乡建设部办公厅,国务院部门,城乡建设、环境保护&其他,建办市函〔2024〕10号,,旅游,中性,0.7
2024/1/3,住房城乡建设部办公厅关于印发培育新时代建筑产业工人可复制经验做法清单（第一批）的通知,住房城乡建设部办公厅,国务院部门,城乡建设、环境保护&其他,建办市函〔2024〕10号,,半导体与信息技术,中性,0.7
2024/1/2,关于全面开展健康家庭建设的通知,国家卫生健康委办公厅 全国爱卫办 民政部办公厅 体育总局办公厅 国家疾控局综合司 共青团中央办公厅 全国妇联办公厅 中国计划生育协会办公室,国务院部门,卫生、体育&卫生,国卫办人口发〔2024〕1号,,化工,中性,0.7
2024/1/2,关于全面开展健康家庭建设的通知,国家卫生健康委办公厅 全国爱卫办 民政部办公厅 体育总局办公厅 国家疾控局综合司 共青团中央办公厅 全国妇联办公厅 中国计划生育协会办公室,国务院部门,卫生、体育&卫生,国卫办人口发〔2024〕1号,,传统能源,中性,0.7
2024/1/2,关于全面开展健康家庭建设的通知,国家卫生健康委办公厅 全国爱卫办 民政部办公厅 体育总局办公厅 国家疾控局综合司 共青团中央办公厅 全国妇联办公厅 中国计划生育协会办公室,国务院部门,卫生、体育&卫生,国卫办人口发〔2024〕1号,,金融,正面,0.75
2024/1/2,关于全面开展健康家庭建设的通知,国家卫生健康委办公厅 全国爱卫办 民政部办公厅 体育总局办公厅 国家疾控局综合司 共青团中央办公厅 全国妇联办公厅 中国计划生育协会办公室,国务院部门,卫生、体育&卫生,国卫办人口发〔2024〕1号,,医药,正面,0.75
2024/1/2,关于全面开展健康家庭建设的通知,国家卫生健康委办公厅 全国爱卫办 民政部办公厅 体育总局办公厅 国家疾控局综合司 共青团中央办公厅 全国妇联办公厅 中国计划生育协会办公室,国务院部门,卫生、体育&卫生,国卫办人口发〔2024〕1号,,消费,正面,0.85
2024/1/2,关于全面开展健康家庭建设的通知,国家卫生健康委办公厅 全国爱卫办 民政部办公厅 体育总局办公厅 国家疾控局综合司 共青团中央办公厅 全国妇联办公厅 中国计划生育协会办公室,国务院部门,卫生、体育&卫生,国卫办人口发〔2024〕1号,,房地产,中性,0.7
2024/1/2,关于全面开展健康家庭建设的通知,国家卫生健康委办公厅 全国爱卫办 民政部办公厅 体育总局办公厅 国家疾控局综合司 共青团中央办公厅 全国妇联办公厅 中国计划生育协会办公室,国务院部门,卫生、体育&卫生,国卫办人口发〔2024〕1号,,电动车新能源,中性,0.7
2024/1/2,关于全面开展健康家庭建设的通知,国家卫生健康委办公厅 全国爱卫办 民政部办公厅 体育总局办公厅 国家疾控局综合司 共青团中央办公厅 全国妇联办公厅 中国计划生育协会办公室,国务院部门,卫生、体育&卫生,国卫办人口发〔2024〕1号,,高端装备,中性,0.7
2024/1/2,关于全面开展健康家庭建设的通知,国家卫生健康委办公厅 全国爱卫办 民政部办公厅 体育总局办公厅 国家疾控局综合司 共青团中央办公厅 全国妇联办公厅 中国计划生育协会办公室,国务院部门,卫生、体育&卫生,国卫办人口发〔2024〕1号,,旅游,正面,0.75
